MARCA,GRADO,CONTENIDO,UNIDAD,STOCK,VAL_COMPRA,VAL_VENTA
REPSOL HIGH MILEAGE,20W/50,ACEITE,GALON,5,45,58
REPSOL HIGH MILEAGE,20W/50,ACEITE,QUARTO,12,14,20
SHELL HX5G,20W/50,ACEITE,QUARTO,12,18,23
SHELL HX5G,20W/50,ACEITE,QUARTO,2,15,18
SHELL SPIRAX  S2,80W/90,ACEITE,GALON,3,58,68
SHELL SPIRAX S2,80W/90,ACEITE,GALON,3,58,68
MOBIL MX,15w/40,ACEITE,GALON,6,122,133
MOBIL  DELVAC TURBO,25W/50,ACEITE,GALON,1,122,130
MOBIL  MX,15W/40,ACEITE,QUARTO,4,12,18
MOBIL DELVAC,25W/50,ACEITE,QUARTO,1,10,17
MOBIL   1,5W/30,ACEITE,QUARTO,6,32,39
MOBIL SUPER 2000,5W/30,ACEITE,GALON,4,100,125
VALVOLINE ADVANCE SYNTETIC,5W/30,ACEITE,GALON,3,84,110
VALVOLINE ADVANCE SYNTETIC,5W/30,ACEITE,QUARTO,14,18,26
VALVOLINE BLEND POWER SAE,10W/30,ACEITE,QUARTO,14,15,20
VALVOLINE BLEND POWER SAE,10W/30,ACEITE,GALON,3,51,70
VALVOLINE BLEND POWER SAE,20W/50,ACEITE,QUARTO,14,15,18
VALVOLINE BLEND POWER SAE,20W/50,ACEITE,GALON,3,51,68
CASTROL  GTX,20W/50,ACEITE,QUARTO,15,14,22
CASTROL  GTX,20W/50,ACEITE,GALON,3,62,80
CASTROL MAGNATEC,5W/30,ACEITE,QUARTO,12,27,38
PUROLATOR,FCO520,FILTRO,PZA X 1,12,22,28
PUROLATOR,PER147B,FILTRO,PZA X 1,12,8,12
PUROLATOR,PER4476,FILTRO,PZA X 1,12,8,10
TOYOTA, 23390-0L041,FILTRO PETROLEO,PZA X1,10,20,29
TOYOTA,23390-0L070,FILTRO PETROLEO,PZA X1,10,29,39
TOYOTA, 04152-37010,FILTRO ACEITE,PZA X1,6,11,16
TOYOTA,17801-0C010,FILTRO AIRE,PZA X1,3,37,52
TOYOTA,17801-0L040,FILTRO AIRE,PZA X1,3,39,55
HYUNDAI,28113-1R100,FILTRO AIRE,PZA X1,2,14,20
HYUNDAI,28113-4H000,FILTRO AIRE,PZA X1,2,19,26
HYUNDAI, 28113-3X000,FILTRO AIRE,PZA X1,2,14,20
PUROLATOR,PER1A,FILTRO,PZA X 1,12,7.5,10
WILLY BUSCH,BLS3010,FILTRO,PZA X 1,12,5,7
WILLY BUSCH,BLS3007,FILTRO,PZA X 1,12,6,8
LYS,LF604,FILTRO,PZA X 1,12,12.5,19
FRENOSA,DOT3,LIQUIDO DE FRENO,FCOX1,36,6.2,8
VISTONY,EP2,GRASA ROJA ,POTE X1,12,8,10
VISTONY,VISTONY,SILICONA WHITE 300ML,FCOX1,12,8,10
